photon_frequency_tab,ir_cutoff,uv_cutoff,n_modes_tab,final_reflection_tab,final_transmission_tab,final_vertical_tab,final_atom_excitation_tab,final_total_probability_tab
29.41592653589793,0.0,62.83185307179586,1001,1.0029330765680966,2.819999151550816e-06,1.9452602563938447e-12,1.7099256301250725e-09,1.002935898279119
29.61592653589793,0.0,62.83185307179586,1001,1.0029496274430725,2.649311373135715e-06,1.0425046268934902e-11,9.163840032212268e-09,1.0029522859287108
29.81592653589793,0.0,62.83185307179586,1001,1.0029642544647206,2.5182542488725656e-06,4.666059821120353e-11,4.101567003027835e-08,1.0029668137813001
30.015926535897933,0.0,62.83185307179586,1001,1.002976952027958,2.4247453142459272e-06,1.7441934346152397e-10,1.533183566567141e-07,1.0029795302660482
30.215926535897932,0.0,62.83185307179586,1001,1.00298763336575,2.3668996224812992e-06,5.44516477426311e-10,4.786417024333778e-07,1.0029904794515914
30.41592653589793,0.0,62.83185307179586,1001,1.0029961073041795,2.3430305233372683e-06,1.4197093387332327e-09,1.2479550629309764e-06,1.002999699709475
30.61592653589793,0.0,62.83185307179586,1001,1.0030021476449236,2.3518114248206623e-06,3.0914333357312785e-09,2.7174364341966915e-06,1.0030072199842157
30.81592653589793,0.0,62.83185307179586,1001,1.0030057150525984,2.3926176219417834e-06,5.622019740564587e-09,4.941876345903555e-06,1.003013055168586
31.015926535897933,0.0,62.83185307179586,1001,1.0030072257961327,2.4657934617184314e-06,8.538800769450536e-09,7.5057896436162326e-06,1.0030172059180387
31.215926535897932,0.0,62.83185307179586,1001,1.0030075636281224,2.572406067742338e-06,1.0831121527737408e-08,9.520788924187079e-06,1.0030196676542358
31.41592653589793,0.0,62.83185307179586,1001,1.0030076337003275,2.7133990778389583e-06,1.1474189306615057e-08,1.0086059341564346e-05,1.0030204446329363
31.61592653589793,0.0,62.83185307179586,1001,1.0030077335323317,2.8887887929066456e-06,1.0151790031582755e-08,8.92364191887741e-06,1.0030195561148336
31.81592653589793,0.0,62.83185307179586,1001,1.0030073276506382,3.09771754381281e-06,7.501278269645398e-09,6.593785037312108e-06,1.0030170266544975
32.01592653589793,0.0,62.83185307179586,1001,1.0030054555419041,3.3393612408620955e-06,4.629136212495126e-09,4.069110356452308e-06,1.0030128686426376
32.21592653589793,0.0,62.83185307179586,1001,1.0030013592814595,3.6138306711208894e-06,2.385814521211588e-09,2.097182310306627e-06,1.0030070726802554
32.41592653589793,0.0,62.83185307179586,1001,1.0029947852612606,3.92236318196674e-06,1.0269408481128845e-09,9.027031067366153e-07,1.0029996113544901
32.615926535897934,0.0,62.83185307179586,1001,1.0029858570703807,4.266922476274757e-06,3.6916984066336244e-10,3.2450823500960677e-07,1.0029904488702617
32.81592653589793,0.0,62.83185307179586,1001,1.00297480013358,4.6497504349981906e-06,1.1083553786065889e-10,9.742682311997867e-08,1.0029795474216736
33.01592653589793,0.0,62.83185307179586,1001,1.002961770462974,5.073183836873065e-06,2.7790981560266385e-11,2.4428870893450278e-08,1.0029668681034727
33.21592653589793,0.0,62.83185307179586,1001,1.0029468243589852,5.5396888663318e-06,5.8197023458806455e-12,5.115643610429083e-09,1.002952369169315
33.41592653589793,0.0,62.83185307179586,1001,1.0029299515129066,6.051956581071756e-06,1.0178169837653285e-12,8.946830336255456e-10,1.0029360043651885
